instance,capacity,total_demand,num_clientes,heuristic,local_search,cost,num_routes,time,gap,best_known,status,msg
instancias/2l-cvrp-0/E076-15s.dat,100,1364,76,cw,none,1054.6,15,0.00215788,,,ok,
instancias/2l-cvrp-0/E076-15s.dat,100,1364,76,cw,swap,1054.6,15,0.0417861,,,ok,
instancias/2l-cvrp-0/E076-15s.dat,100,1364,76,cw,relocate,1054.6,15,0.0412935,,,ok,
instancias/2l-cvrp-0/E076-15s.dat,100,1364,76,cw,both,1054.6,15,0.0795005,,,ok,
instancias/2l-cvrp-0/E076-15s.dat,100,1364,76,ni,none,1160.93,15,0.000704208,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E076-15s.dat,100,1364,76,ni,swap,1109.74,15,0.0408118,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E076-15s.dat,100,1364,76,ni,relocate,1108.54,15,0.0394996,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E076-15s.dat,100,1364,76,ni,both,1058.69,15,0.0795013,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E076-15s.dat,100,1364,76,grasp,none,699.818,15,82.5883,,,ok,
instancias/2l-cvrp-0/E030-04S.DAT,4500,12750,30,cw,none,534.448,4,0.000243708,,,ok,
instancias/2l-cvrp-0/E030-04S.DAT,4500,12750,30,cw,swap,534.448,4,0.000486875,,,ok,
instancias/2l-cvrp-0/E030-04S.DAT,4500,12750,30,cw,relocate,534.448,4,0.000475,,,ok,
instancias/2l-cvrp-0/E030-04S.DAT,4500,12750,30,cw,both,534.448,4,0.000721416,,,ok,
instancias/2l-cvrp-0/E030-04S.DAT,4500,12750,30,ni,none,367.703,4,8.5333e-05,,,ok,
instancias/2l-cvrp-0/E030-04S.DAT,4500,12750,30,ni,swap,336.901,4,0.0003605,,,ok,
instancias/2l-cvrp-0/E030-04S.DAT,4500,12750,30,ni,relocate,325.786,4,0.00036175,,,ok,
instancias/2l-cvrp-0/E030-04S.DAT,4500,12750,30,ni,both,312.648,4,0.000622875,,,ok,
instancias/2l-cvrp-0/E030-04S.DAT,4500,12750,30,grasp,none,395.986,4,0.48335,,,ok,
instancias/2l-cvrp-0/E076-14u.dat,100,1364,76,cw,none,1033.83,14,0.00182217,0.4897982194634272,1028.791,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E076-14u.dat,100,1364,76,cw,swap,1033.83,14,0.0355525,0.4897982194634272,1028.791,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E076-14u.dat,100,1364,76,cw,relocate,1033.83,14,0.033482,0.4897982194634272,1028.791,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E076-14u.dat,100,1364,76,cw,both,1033.83,14,0.0664434,0.4897982194634272,1028.791,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E076-14u.dat,100,1364,76,ni,none,1065.75,14,0.000715917,3.5924692187237315,1028.791,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E076-14u.dat,100,1364,76,ni,swap,1014.56,14,0.0329916,-1.3832741538368818,1028.791,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E076-14u.dat,100,1364,76,ni,relocate,1013.36,14,0.0349986,-1.4999159207263602,1028.791,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E076-14u.dat,100,1364,76,ni,both,963.514,14,0.0684127,-6.345020514370746,1028.791,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E076-14u.dat,100,1364,76,grasp,none,0.0,0,68.4001,,1028.791,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E151-12b.dat,200,2235,151,cw,none,1133.43,12,0.0123082,,,ok,
instancias/2l-cvrp-0/E151-12b.dat,200,2235,151,cw,swap,1133.43,12,0.0576266,,,ok,
instancias/2l-cvrp-0/E151-12b.dat,200,2235,151,cw,relocate,1133.43,12,0.0577324,,,ok,
instancias/2l-cvrp-0/E151-12b.dat,200,2235,151,cw,both,1133.43,12,0.107198,,,ok,
instancias/2l-cvrp-0/E151-12b.dat,200,2235,151,ni,none,2031.84,12,0.00135508,,,ok,
instancias/2l-cvrp-0/E151-12b.dat,200,2235,151,ni,swap,1997.91,12,0.0526369,,,ok,
instancias/2l-cvrp-0/E151-12b.dat,200,2235,151,ni,relocate,1996.73,12,0.0504275,,,ok,
instancias/2l-cvrp-0/E151-12b.dat,200,2235,151,ni,both,1966.16,12,0.102707,,,ok,
instancias/2l-cvrp-0/E151-12b.dat,200,2235,151,grasp,none,1244.59,12,94.3968,,,ok,
instancias/2l-cvrp-0/E151C14r.dat,2021,28048,151,cw,none,2398.04,14,0.0134123,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E151C14r.dat,2021,28048,151,cw,swap,2395.6,14,0.0861518,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E151C14r.dat,2021,28048,151,cw,relocate,2398.04,14,0.0872938,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E151C14r.dat,2021,28048,151,cw,both,2395.6,14,0.165644,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E151C14r.dat,2021,28048,151,ni,none,1297.48,14,0.00181829,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E151C14r.dat,2021,28048,151,ni,swap,1286.57,14,0.0801339,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E151C14r.dat,2021,28048,151,ni,relocate,1286.52,14,0.0806101,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E151C14r.dat,2021,28048,151,ni,both,1275.61,14,0.158451,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E151C14r.dat,2021,28048,151,grasp,none,0.0,0,141.673,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E151A15r.dat,1544,21831,151,cw,none,3124.49,15,0.0140845,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E151A15r.dat,1544,21831,151,cw,swap,3119.64,15,0.135121,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E151A15r.dat,1544,21831,151,cw,relocate,3120.98,15,0.139514,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E151A15r.dat,1544,21831,151,cw,both,3116.13,15,0.257863,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E151A15r.dat,1544,21831,151,ni,none,1517.58,15,0.00200892,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E151A15r.dat,1544,21831,151,ni,swap,1465.81,15,0.13268,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E151A15r.dat,1544,21831,151,ni,relocate,1381.52,15,0.146433,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E151A15r.dat,1544,21831,151,ni,both,1410.36,15,0.228219,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E151A15r.dat,1544,21831,151,grasp,none,2047.45,15,207.437,,,ok,
instancias/2l-cvrp-0/E151-12c.dat,200,2235,151,cw,none,1133.43,12,0.013165,9.927231146582246,1031.073,ok,
instancias/2l-cvrp-0/E151-12c.dat,200,2235,151,cw,swap,1133.43,12,0.0649092,9.927231146582246,1031.073,ok,
instancias/2l-cvrp-0/E151-12c.dat,200,2235,151,cw,relocate,1133.43,12,0.0819863,9.927231146582246,1031.073,ok,
instancias/2l-cvrp-0/E151-12c.dat,200,2235,151,cw,both,1133.43,12,0.103902,9.927231146582246,1031.073,ok,
instancias/2l-cvrp-0/E151-12c.dat,200,2235,151,ni,none,1980.29,12,0.00136946,92.06108587849742,1031.073,ok,
instancias/2l-cvrp-0/E151-12c.dat,200,2235,151,ni,swap,1903.94,12,0.0527223,84.65617856349647,1031.073,ok,
instancias/2l-cvrp-0/E151-12c.dat,200,2235,151,ni,relocate,1923.49,12,0.0518609,86.55226157604747,1031.073,ok,
instancias/2l-cvrp-0/E151-12c.dat,200,2235,151,ni,both,1875.43,12,0.103708,81.89109791450265,1031.073,ok,
instancias/2l-cvrp-0/E151-12c.dat,200,2235,151,grasp,none,1224.28,12,92.3632,18.738440440201604,1031.073,ok,
instancias/2l-cvrp-0/E021-06m.dat,58,329,21,cw,none,352.768,6,0.000140833,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E021-06m.dat,58,329,21,cw,swap,352.768,6,0.000700875,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E021-06m.dat,58,329,21,cw,relocate,352.768,6,0.00075325,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E021-06m.dat,58,329,21,cw,both,352.768,6,0.00131575,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E021-06m.dat,58,329,21,ni,none,204.857,6,9.6792e-05,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E021-06m.dat,58,329,21,ni,swap,151.481,6,0.000657208,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E021-06m.dat,58,329,21,ni,relocate,176.297,6,0.00065325,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E021-06m.dat,58,329,21,ni,both,149.44,6,0.00122417,,,infeasible,Solution infeasible or not all clients visited
instancias/2l-cvrp-0/E021-06m.dat,58,329,21,grasp,none,247.829,6,1.17476,,,ok,
instancias/2l-cvrp-0/E101-10c.dat,200,1810,101,cw,none,833.509,10,0.00348917,1.702383116732576,819.557,ok,
instancias/2l-cvrp-0/E101-10c.dat,200,1810,101,cw,swap,831.123,10,0.022532,1.4112502242064957,819.557,ok,
instancias/2l-cvrp-0/E101-10c.dat,200,1810,101,cw,relocate,832.186,10,0.0222691,1.5409544424609904,819.557,ok,
instancias/2l-cvrp-0/E101-10c.dat,200,1810,101,cw,both,830.199,10,0.0405722,1.29850638820728,819.557,ok,
instancias/2l-cvrp-0/E101-10c.dat,200,1810,101,ni,none,580.919,10,0.000607416,-29.11792590387246,819.557,ok,
